key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
[FeII]-4116,[Fe II],4115.636,0.23217279,3.24468891,0.155,4.72e-10,10-12,3d7-3d6(3H)4s,a4F-b2H,9/2-11/2,E2,4114.475029290882,forbidden,4.72e-09,51,1.0,a4F-b2H,NIST,--
HeI-4122,He I,4121.973,20.96408688908,23.9719714182,2473800.0,0.0037808,5-3,1s2p-1s5s,3P*-3S,2-1,E1,4120.810710920064,permitted,0.018904,2,1.0,3P*,NIST,--
HeI-4145,He I,4144.928,21.2180227112,24.209249793955,4881200.0,0.020954,3-5,1s2p-1s6d,1P*-1D,1-2,E1,4143.7590049716455,permitted,0.062862,1,1.0,1P*,NIST,--
[FeII]-4159,[Fe II],4159.088,0.9863338,3.96737644,0.036,9.3e-11,8-8,3d6(5D)4s-3d7,a4D-b2F,7/2-7/2,M1,4157.916042780151,forbidden,7.44e-10,25,1.0,a4D-b2F,NIST,--
[FeII]-4178,[Fe II],4178.379,0.23217279,3.19945278,0.289,7.6e-10,10-10,3d7-3d6(3G)4s,a4F-a4G,9/2-9/2,E2,4177.201384263817,forbidden,7.6e-09,48,0.0760107712280699,a4F-a4G,NIST,--
[FeII]-4180,[Fe II],4180.142,0.30129858,3.26732671,0.0157,5.13e-11,8-10,3d7-3d6(3H)4s,a4F-b2H,7/2-9/2,E2,4178.964491696422,forbidden,4.104e-10,51,0.15633980343063997,a4F-b2H,NIST,--
[FeII]-4199,[Fe II],4198.991,0.38651921,3.33923354,0.0107,1.4e-11,4-2,3d7-3d6(3P2)4s,a4F-b2P,3/2-1/2,E2,4197.807876855585,forbidden,5.6e-11,52,0.443990522807828,a4F-b2P,NIST,--
[FeII]-4210,[Fe II],4210.025,1.67061856,4.6155941,0.0105,9.3e-12,6-2,3d7-3d6(1S2)4s,a4P-a2S,5/2-1/2,E2,4208.838981166628,forbidden,5.58e-11,36,0.7066170007241309,a4P-a2S,NIST,--
[FeII]-4212,[Fe II],4212.292,0.30129858,3.24468891,0.059,2.36e-10,8-12,3d7-3d6(3H)4s,a4F-b2H,7/2-11/2,E2,4211.1057860411065,forbidden,1.888e-09,51,0.366395175891006,a4F-b2H,NIST,--
[FeV]-4228,[Fe V],4228.38,0.15903,3.09122,0.0047,1.3e-11,9-9,3d4-3d4,5D-3H,4-4,M1,4227.1894626244075,forbidden,1.17e-10,0,1.0,5D-3H,NIST,--
[FeII]-4233,[Fe II],4232.755,0.30129858,3.23045937,0.0207,4.17e-11,8-6,3d7-3d6(3G)4s,a4F-a4G,7/2-5/2,E2,4231.5632138734645,forbidden,3.336e-10,48,0.0034093390021069027,a4F-a4G,NIST,--
[FeII]-4245,[Fe II],4245.169,0.23217279,3.15276806,1.03,3.35e-09,10-12,3d7-3d6(3G)4s,a4F-a4G,9/2-11/2,E2,4243.973823700372,forbidden,3.3499999999999996e-08,48,1.0,a4F-a4G,NIST,--
