ion,wave_vac,terms,line_ratio,configuration,multiplet
Fe II,2187.979251763507,c2D,1.0,,0
Fe II,2241.041436722413,a6D,0.02283582089552239,,10
Fe II,2244.579193190785,a4F,0.04239669421487603,,6
Fe II,2245.306348832795,a4F,0.1206611570247934,,6
Fe II,2246.1985398718157,z6D*,0.05756756756756757,,29
Fe II,2249.8753279963735,a6D,0.10626865671641791,,10
Fe II,2250.8745424110843,a6D,0.03313432835820895,,10
Fe II,2251.634705595357,a6D,0.050746268656716415,,10
Fe II,2252.252838331863,a6D,0.02946268656716418,,10
Fe II,2253.8231757113304,a6D,0.10626865671641791,,10
Fe II,2256.3877272105506,z6D*,0.049189189189189186,,29
Fe II,2256.68679156507,a6D,0.028298507462686567,,10
Fe II,2258.9272739609796,y4G*,1.0,,0
Fe II,2260.7826738108843,a6D,0.20746268656716418,,10
Fe II,2260.9367070208045,a6D,0.01817910447761194,,10
Fe II,2261.560841608891,a6D,0.046567164179104475,,10
Fe II,2263.3862354490725,a6D,0.02408955223880597,,10
Fe II,2266.6949501300132,a6D,0.03582089552238806,,10
Fe II,2268.2852940103153,a6D,0.09462686567164179,,10
Fe II,2269.2635056467348,a6D,0.017701492537313433,,10
Fe II,2269.5235619250243,a6D,0.06895522388059701,,10
Fe II,2276.7541291843822,a6D,0.023074626865671643,,10
Fe II,2280.6219695208406,a6D,0.20328358208955224,,10
Fe II,2287.850543622731,d2F,1.0,,0
Fe II,2308.431050198786,c4F,0.18622950819672132,,21
Fe II,2309.4782804742085,c4F,0.1960655737704918,,21
Fe II,2311.9978348712993,c4F,0.26786885245901637,,21
Fe II,2312.0038361924426,c4F,0.24655737704918032,,21
Fe II,2315.5816243405993,c4F,0.2,,21
Fe II,2327.0711623724824,c4F,0.24491803278688526,,21
Fe II,2328.1133931217396,a6D,0.056119402985074625,,10
Fe II,2332.0202588593993,a4F,0.3859504132231405,,6
Fe II,2333.5155905314373,a6D,0.07791044776119403,,10
Fe II,2338.7277479670147,a6D,0.05701492537313433,,10
Fe II,2341.2953189002205,c4F,0.32721311475409837,,21
Fe II,2344.21596895454,a6D,0.09492537313432836,,10
Fe II,2344.6790720874865,a4F,0.20826446280991737,,6
Fe II,2345.0031442678905,a6D,0.056716417910447764,,10
Fe II,2348.117838404124,X4G*,0.5248756218905473,,2
Fe II,2348.832997886021,a4F,0.412396694214876,,6
Fe II,2348.984031571693,c4F,0.23245901639344263,,21
Fe II,2349.02204004915,a6D,0.0791044776119403,,10
Fe II,2350.0192625092714,X4G*,0.13905472636815921,,2
Fe II,2351.747648252008,X4G*,1.0,,2
Fe II,2352.682857064968,c4F,0.2967213114754098,,21
Fe II,2355.090394915334,X4G*,0.3358208955223881,,2
Fe II,2355.610511166601,a4F,0.17520661157024794,,6
Fe II,2356.0716142443894,z6F*,0.02683168316831683,,30
Fe II,2357.661969881337,c4F,0.18032786885245902,,21
Fe II,2359.8274544251917,a6D,0.08119402985074627,,10
Fe II,2359.829454872965,z6F*,0.04693069306930693,,30
Fe II,2360.7226548324934,a4F,0.6743801652892562,,6
Fe II,2361.0137200053373,a4F,0.19586776859504132,,6
Fe II,2362.4600439445294,z6F*,0.029504950495049503,,30
Fe II,2362.7401066887514,a4F,0.36446280991735536,,6
Fe II,2364.5815193722206,z6F*,0.13564356435643565,,30
Fe II,2365.029619833835,c4F,0.380327868852459,,21
Fe II,2365.5537373562497,a6D,0.09731343283582089,,10
Fe II,2367.3171329046268,a4F,0.1933884297520661,,6
Fe II,2368.7794610879296,c4F,0.3540983606557377,,21
Fe II,2369.3165816693468,a4F,0.15206611570247933,,6
Fe II,2370.3938235672385,c4F,0.26721311475409837,,21
Fe II,2370.683888716217,z6F*,0.23415841584158417,,30
Fe II,2371.2230098191912,a4F,0.16611570247933885,,6
Fe II,2372.9243921352036,c4F,0.3639344262295082,,21
Fe II,2373.530528388507,c4F,0.2937704918032787,,21
Fe II,2373.8826075441334,c4F,0.20295081967213116,,21
Fe II,2374.4577368652685,a6D,0.31044776119402984,,10
Fe II,2374.847824591865,c4P,0.34539473684210525,,22
Fe II,2375.3679415771494,c4P,0.19572368421052633,,22
Fe II,2375.5969931016402,c4F,0.25311475409836065,,21
Fe II,2375.9150646569838,a4F,0.11074380165289256,,6
Fe II,2379.999984248436,a4F,0.39173553719008264,,6
Fe II,2380.1450169191476,c4F,0.16918032786885245,,21
Fe II,2381.1582452038047,X4F*,0.5194117647058824,,1
Fe II,2381.491320262415,a6D,0.09880597014925373,,10
