key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[FeII]-4418,[Fe II],4417.508,0.0,2.80665448,0.476,1.391e-09,10-10,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,9/2-9/2,M1,NIST,,4416.268150884653,$[$Fe II$]$,"$[$Fe II$]\,\lambda4418$",forbidden,1.391e-08,20,0.4148949588297316
[FeII]-4434,[Fe II],4433.692,0.04770753,2.84411707,0.06,1.32e-10,8-6,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,7/2-5/2,M1,NIST,,4432.447885383744,$[$Fe II$]$,"$[$Fe II$]\,\lambda4434$",forbidden,1.056e-09,20,0.022371307560653992
[FeII]-4453,[Fe II],4453.347,0.10695023,2.8910183,0.536,2.39e-09,4-6,3d6(5D)4s-3d54s2,a6D-a6S,3/2-5/2,E2,NIST,,4452.096793668103,$[$Fe II$]$,"$[$Fe II$]\,\lambda4453$",forbidden,9.56e-09,14,0.1873625998857348
[FeII]-4459,[Fe II],4459.198,0.04770753,2.82812245,0.318,9.48e-10,8-8,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,7/2-7/2,M1,NIST,,4457.946430688764,$[$Fe II$]$,"$[$Fe II$]\,\lambda4459$",forbidden,7.584e-09,20,0.21451207106158057
[FeII]-4472,[Fe II],4471.552,0.08278213,2.85551515,0.035,6.9e-11,6-4,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,5/2-3/2,M1,NIST,,4470.29745230729,$[$Fe II$]$,"$[$Fe II$]\,\lambda4472$",forbidden,4.1399999999999997e-10,20,0.007499850278148278
[FeII]-4476,[Fe II],4476.158,0.12113874,2.8910183,0.263,2.37e-09,2-6,3d6(5D)4s-3d54s2,a6D-a6S,1/2-5/2,E2,NIST,,4474.902707197442,$[$Fe II$]$,"$[$Fe II$]\,\lambda4476$",forbidden,4.74e-09,14,0.1829686712198034
[FeII]-4480,[Fe II],4480.373,1.96448604,4.7317602,0.128,2.3e-10,10-6,3d7-3d6(1D2)4s,a2G-c2D,9/2-5/2,E2,NIST,,4479.115935441804,$[$Fe II$]$,"$[$Fe II$]\,\lambda4480$",forbidden,2.3e-09,27,0.24797371033759277
[FeII]-4490,[Fe II],4490.009,0.08278213,2.84411707,0.163,4.92e-10,6-6,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,5/2-5/2,M1,NIST,,4488.749992980529,$[$Fe II$]$,"$[$Fe II$]\,\lambda4490$",forbidden,2.9519999999999997e-09,20,0.08028556466516684
[FeII]-4494,[Fe II],4493.896,0.04770753,2.80665448,0.082,3.1e-10,8-10,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,7/2-9/2,M1,NIST,,4492.635277523987,$[$Fe II$]$,"$[$Fe II$]\,\lambda4494$",forbidden,2.48e-09,20,0.08782854805459299
[FeII]-4511,[Fe II],4510.87,0.10695023,2.85551515,0.074,2.25e-10,4-4,3d6(5D)4s-3d6(3F2)4s,a6D-b4F,3/2-3/2,M1,NIST,,4509.605387765987,$[$Fe II$]$,"$[$Fe II$]\,\lambda4511$",forbidden,9e-10,20,0.023822094542734068
