key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
TiI-3709,Ti I,3708.585,2.236329,5.579497,8622000.0,0.013827940130793167,9-7,(2H)4s-(4F)5p,a3H-3G,4-3,E1,3707.53,permitted,0.1244514611771385,29,0.011421959698729544,a3H,K,--
FeI]-3709,Fe I,3708.619,3.881603,7.22474,16570000.0,0.041759711587604914,9-11,5Dsp3P-s4D)4d,z3F-g5G,4-5,E1,3707.564,semi-forbidden,0.3758374042884442,105,0.15548642430337853,z3F,K94,--
FeI]-3709,Fe I,3708.725,3.23672,6.579761,48950.0,0.00010093845377070791,13-13,(2H)4s-(4F)5p,b3H-5G,6-6,E1,3707.67,semi-forbidden,0.0013121998990192028,16,0.00034217328269341954,b3H,K94,--
FeII-3709,Fe II,3708.778,8.943029,12.286022,158700.0,0.00039264493539959967,10-12,(1G)4p-(3H)5s,x2H-e2H,9/2-11/2,E1,3707.723,permitted,0.003926449353995997,11,1.0,x2H,K88,--
FeI]-3709,Fe I,3708.869,3.267112,6.610023,186700.0,0.0003851299691359463,11-11,(2H)4s-3Gsp3P,b3H-y1H,5-5,E1,3707.814,semi-forbidden,0.004236429660495409,16,0.001029657426555526,b3H,K94,--
FeI-3709,Fe I,3708.877,0.087286,3.43019,722000.0,0.0008933671843019261,5-3,4s2-5Dsp3P,a5D-z5F,2-1,E1,3707.822,permitted,0.0044668359215096305,93,0.004756618586882733,a5D,FMW,--
TiI]-3709,Ti I,3708.929,2.153547,5.496404,21360.0,4.4043187806219176e-05,3-3,2D2)4s-(4F)5p,a3D-5D,1-1,E1,3707.874,semi-forbidden,0.00013212956341865752,77,2.4292181405761188e-05,a3D,K,--
FeI-3709,Fe I,3708.975,2.175945,5.518761,33160000.0,0.048854206073386974,7-5,(4P)4s-(4P)4p,a5P-y5S,3-2,E1,3707.92,permitted,0.3419794425137088,52,0.3204261151341068,a5P,O,--
FeI-3709,Fe I,3709.235,2.588106,5.930687,2509.0,5.174899977381411e-06,7-7,4s2-3Fsp3P,b3F-x3G,3-3,E1,3708.18,permitted,3.6224299841669876e-05,97,8.046542627607101e-05,b3F,K94,--
FeI]-3709,Fe I,3709.35,3.301402,6.64388,16260.0,4.099751095223894e-05,9-11,(2H)4s-(4F)5p,b3H-5G,4-5,E1,3708.295,semi-forbidden,0.00036897759857015046,16,0.0001012855799361976,b3H,K94,--
