--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
   236.5760    236.5037  -2.803 3.752e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.240778   2.0 s4F)5p p3D K    
   236.9290    236.8566  -2.024 2.249e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.232970   2.0 s2 4p q3D  K    
   236.9312    236.8588  -2.622 4.053e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.254016   3.0 s4F)5p?p3D K    
   237.0008    236.9284  -2.405 1.558e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.231383   1.0 s4F)5p?p3D K    
   237.2685    237.1961  -1.213 2.418e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.225481   1.0 s2 4p q3D  K    
   237.2978    237.2254  -1.964 1.838e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.245928   3.0 s2 4p q3D  K    
   237.3487    237.2762  -4.618 2.594e+03  22.00 Ti I        0.835995   4.0 (4F)4s a5F     6.059710   5.0 s2F)5p 3G  K    
   237.4257    237.3532  -3.163 9.033e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.269987   4.0 s4F)5p 5D  K    
   237.4544    237.3819  -4.513 4.034e+03  22.00 Ti I        0.825859   3.0 (4F)4s a5F     6.047250   4.0 s2F)5p 3F  K    
   237.5320    237.4595  -1.927 2.797e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.240778   2.0 s4F)5p p3D K    
   237.8879    237.8153  -1.015 2.277e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.232970   2.0 s2 4p q3D  K    
   237.9204    237.8478  -4.952 1.880e+03  22.00 Ti I        0.818142   2.0 (4F)4s a5F     6.029307   3.0 s2F)5p 3F  K    
   238.1541    238.0815  -1.713 3.253e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.254016   3.0 s4F)5p?p3D K    
   238.1763    238.1037  -3.716 3.230e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.205564   3.0 s4F)5p 5F  K    
   238.4138    238.3411  -2.511 1.206e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.200379   1.0 (2P)4p u3P K    
   238.4157    238.3430  -4.965 1.817e+03  22.00 Ti I        0.818142   2.0 (4F)4s a5F     6.018479   3.0 s2F)5p 3G  K    
   238.4269    238.3542  -4.015 1.259e+04  22.00 Ti I        0.835995   4.0 (4F)4s a5F     6.036089   4.0 s2F)5p 3G  K    
   238.5011    238.4284  -3.164 1.608e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.198475   2.0 (2P)4p u3P K    
   238.5246    238.4519  -1.270 8.994e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.245928   3.0 s2 4p q3D  MFW  
   238.5377    238.4650  -3.450 4.621e+04  22.00 Ti I        0.021094   3.0 s2 a3F         5.218772   4.0 s4F)5p 5F  K    
   238.6270    238.5543  -3.222 1.405e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.195732   2.0 s4F)5p 5F  K    
   238.6922    238.6194  -3.011 1.631e+05  22.00 Ti I        0.899549   2.0 s2 a1D         6.093864   3.0 s2F)5p 3D  K    
   238.7700    238.6972  -4.171 1.127e+04  22.00 Ti I        0.825859   3.0 (4F)4s a5F     6.018479   3.0 s2F)5p 3G  K    
   238.8812    238.8084  -4.546 6.650e+03  22.00 Ti I        0.818142   2.0 (4F)4s a5F     6.008346   2.0 s2F)5p 3F  K    
   238.9269    238.8541  -3.985 4.032e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.189211   1.0 s4F)5p 5F  K    
   238.9823    238.9095  -4.535 6.814e+03  22.00 Ti I        0.899549   2.0 s2 a1D         6.087556   2.0 s2F)5p 3D  K    
   239.0114    238.9386  -3.801 1.678e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.235342   5.0 s4F)5p 5F  K    
   239.0917    239.0189  -4.966 4.206e+03  22.00 Ti I        0.899549   2.0 s2 a1D         6.085183   1.0 s2F)5p 3D  K    
   239.1454    239.0725  -2.858 2.310e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.205564   3.0 s4F)5p 5F  K    
   239.4728    239.3999  -2.231 1.367e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.198475   2.0 (2P)4p u3P K    
   239.4815    239.4086  -4.436 6.088e+03  22.00 Ti I        0.000000   2.0 s2 a3F         5.177193   3.0 s(4F)5p 5G K    
   239.7773    239.7043  -2.638 2.967e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.218772   4.0 s4F)5p 5F  K    
   239.8699    239.7969  -3.114 1.783e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.168811   2.0 s(4F)5p 5G K    
   239.9373    239.8643  -3.652 2.869e+04  22.00 Ti I        0.021094   3.0 s2 a3F         5.188451   4.0 s4F)5p 5G  K    
   240.3913    240.3182  -4.190 1.065e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.205564   3.0 s4F)5p 5F  K    
   240.4613    240.3881  -3.026 1.552e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.177193   3.0 s(4F)5p 5G K    
   240.4719    240.3987  -2.522 4.953e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.155871   3.0 (2G)4p v1F K    
   240.5271    240.4539  -3.264 5.707e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.202653   5.0 s4F)5p 5G  K    
   240.8528    240.7796  -3.999 2.305e+04  22.00 Ti I        0.021094   3.0 s2 a3F         5.168811   2.0 s(4F)5p 5G K    
   241.1916    241.1183  -3.034 1.178e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.188451   4.0 s4F)5p 5G  K    
   241.2100    241.1367  -1.738 2.994e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.140092   3.0 s2 4p s3F  K    
   241.2307    241.1574  -1.725 2.399e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.160746   4.0 s2 4p s3F  K    
   241.4598    241.3864  -2.639 3.753e+05  22.00 Ti I        0.021094   3.0 s2 a3F         5.155871   3.0 (2G)4p v1F K    
   241.6960    241.6226  -4.856 2.272e+03  22.00 Ti I        0.899549   2.0 s2 a1D         6.029307   3.0 s2F)5p 3F  K    
   241.7210    241.6476  -4.043 1.477e+04  22.00 Ti I        0.047966   4.0 s2 a3F         5.177193   3.0 s(4F)5p 5G K    
   241.9097    241.8362  -1.290 1.169e+07  22.00 Ti I        0.000000   2.0 s2 a3F         5.125227   2.0 s2 4p s3F  MFW  
   242.2041    242.1305  -1.100 1.290e+07  22.00 Ti I        0.021094   3.0 s2 a3F         5.140092   3.0 s2 4p s3F  MFW  
   242.2073    242.1337  -4.057 1.424e+04  22.00 Ti I        0.899549   2.0 s2 a1D         6.018479   3.0 s2F)5p 3G  K    
   242.4986    242.4250  -0.880 1.661e+07  22.00 Ti I        0.047966   4.0 s2 a3F         5.160746   4.0 s2 4p s3F  MFW  
   242.6877    242.6140  -4.149 1.607e+04  22.00 Ti I        0.899549   2.0 s2 a1D         6.008346   2.0 s2F)5p 3F  K    
   242.7301    242.6564  -1.924 1.927e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.155871   3.0 (2G)4p v1F K    
   242.8953    242.8216  -1.320 7.730e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.104430   3.0 s4F)5p?u3G MFW  
   242.9094    242.8357  -1.620 5.423e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.125227   2.0 s2 4p s3F  K    
   243.2524    243.1786  -1.631 3.766e+06  22.00 Ti I        0.899549   2.0 s2 a1D         5.996486   3.0 (2F)4p u1F K    
   243.3958    243.3220  -1.195 7.985e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.115027   4.0 s4F)5p?u3G K    
   243.4822    243.4084  -1.557 4.458e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.140092   3.0 s2 4p s3F  K    
   243.9032    243.8293  -2.091 1.299e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.104430   3.0 s4F)5p?u3G K    
   244.1724    244.0984  -1.150 7.200e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.125699   5.0 s4F)5p?u3G MFW  
   244.6866    244.6125  -2.032 1.150e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.115027   4.0 s4F)5p?u3G K    
   244.8331    244.7589  -2.611 3.893e+05  22.00 Ti I        0.000000   2.0 s2 a3F         5.064030   3.0 (4P)4p r3D K    
   244.8338    244.7596  -4.463 1.277e+04  22.00 Ti I        0.000000   2.0 s2 a3F         5.064017   1.0 (2P)4p x3S K    
   245.1994    245.1252  -3.031 1.476e+05  22.00 Ti I        0.047966   4.0 s2 a3F         5.104430   3.0 s4F)5p?u3G K    
   245.8572    245.7828  -1.644 3.578e+06  22.00 Ti I        0.021094   3.0 s2 a3F         5.064030   3.0 (4P)4p r3D K    
   245.8784    245.8040  -1.631 5.161e+06  22.00 Ti I        0.000000   2.0 s2 a3F         5.042500   2.0 (4P)4p r3D K    
   245.9843    245.9099  -1.462 3.459e+06  22.00 Ti I        0.047966   4.0 s2 a3F         5.088295   5.0 (2H)4p y1H K    
